price,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage
480,,1993,manuell,0,golf,150000,0,benzin,volkswagen,
18300,coupe,2011,manuell,190,,125000,5,diesel,audi,1
9800,suv,2004,automatik,163,grand,125000,8,diesel,jeep,
1500,kleinwagen,2001,manuell,75,golf,150000,6,benzin,volkswagen,0
3600,kleinwagen,2008,manuell,69,fabia,90000,7,diesel,skoda,0
650,limousine,1995,manuell,102,3er,150000,10,benzin,bmw,1
2200,cabrio,2004,manuell,109,2_reihe,150000,8,benzin,peugeot,0
0,limousine,1980,manuell,50,andere,40000,7,benzin,volkswagen,0
14500,bus,2014,manuell,125,c_max,30000,8,benzin,ford,
999,kleinwagen,1998,manuell,101,golf,150000,0,,volkswagen,
2000,limousine,2004,manuell,105,3_reihe,150000,12,benzin,mazda,0
2799,kombi,2005,manuell,140,passat,150000,12,diesel,volkswagen,1
999,kombi,1995,manuell,115,passat,150000,11,benzin,volkswagen,
2500,kombi,2004,manuell,131,passat,150000,2,,volkswagen,0
17999,suv,2011,manuell,190,navara,70000,3,diesel,nissan,0
450,kleinwagen,1910,,0,ka,5000,0,benzin,ford,
300,,2016,,60,polo,150000,0,benzin,volkswagen,
1750,kleinwagen,2004,automatik,75,twingo,150000,2,benzin,renault,0
7550,bus,2007,manuell,136,c_max,150000,6,diesel,ford,0
1850,bus,2004,manuell,102,a_klasse,150000,1,benzin,mercedes_benz,0
10400,coupe,2009,manuell,160,scirocco,100000,4,benzin,volkswagen,0
3699,limousine,2002,automatik,231,5er,150000,7,benzin,bmw,0
2900,,2018,manuell,90,meriva,150000,5,benzin,opel,0
450,kleinwagen,1997,manuell,50,arosa,150000,5,benzin,seat,0
500,limousine,1990,manuell,118,andere,150000,10,benzin,mercedes_benz,1
2500,kombi,2002,automatik,193,5er,150000,9,diesel,bmw,1
5555,,2017,manuell,125,c4,125000,4,,citroen,0
6900,limousine,2008,manuell,99,civic,60000,11,benzin,honda,0
1990,bus,1981,manuell,50,transporter,5000,1,benzin,volkswagen,0
690,kleinwagen,2003,manuell,60,punto,150000,3,benzin,fiat,0
3300,limousine,1995,automatik,113,e_klasse,150000,1,diesel,mercedes_benz,0
899,,2016,manuell,60,clio,150000,6,benzin,renault,
245,limousine,1994,,0,golf,150000,2,benzin,volkswagen,0
18000,limousine,2007,automatik,218,3er,20000,5,benzin,bmw,0
3500,limousine,2004,automatik,122,e_klasse,150000,11,diesel,mercedes_benz,0
350,,2016,manuell,75,golf,150000,4,benzin,volkswagen,0
1600,andere,1991,manuell,75,kadett,70000,0,,opel,
1500,,2016,,0,kangoo,150000,1,diesel,renault,0
11900,andere,2002,manuell,129,andere,150000,11,diesel,volkswagen,0
1500,bus,1984,manuell,70,andere,150000,8,diesel,mercedes_benz,0
0,,1990,,0,corsa,150000,1,benzin,opel,
7500,limousine,2002,automatik,306,e_klasse,150000,4,,mercedes_benz,
12500,limousine,2006,automatik,231,5er,150000,11,diesel,bmw,
6990,limousine,2007,manuell,95,one,100000,8,benzin,mini,0
3900,kleinwagen,2008,automatik,61,fortwo,80000,6,benzin,smart,
590,kleinwagen,1999,manuell,75,clio,125000,8,benzin,renault,0
